UniqueCount	AmbigCount
0	0
162	0
2	0
8	0
1534	0
1	0
0	59
0	60
0	60
0	59
0	54
0	54
0	53
0	59
0	34
0	53
25	9
0	54
0	41
0	29
0	16
0	7
0	59
0	34
0	1
0	0
0	0
0	20
0	20
0	11
0	11
0	0
0	0
83	0
0	9
0	9
92	0
0	0
0	0
268	0
12	0
182	0
0	77
0	77
0	0
35	0
9	0
22	0
0	83
0	89
0	89
0	89
0	85
0	0
7	0
607	0
8355	0
0	0
247	0
58	0
0	1
0	1
0	1
0	1
0	5
0	5
0	5
0	5
0	5
0	5
0	5
0	4
0	4
0	1
0	1
2	1
1	0
3	0
40	0
0	0
5	0
0	0
0	0
21	0
0	0
0	0
0	0
0	9
0	9
0	6
0	8
0	4
2	3
1	3
0	3
0	7
0	5
0	0
0	0
6	0
23	0
4	0
0	0
7	0
0	0
36	0
8	0
3	0
161	0
5	0
24	0
0	0
0	0
0	0
2	0
0	48
0	45
0	1
0	4
0	1
0	4
0	1
0	40
0	40
0	40
0	40
0	40
0	40
0	0
0	0
0	0
3	0
10	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	148
6	148
55	0
6	0
0	0
0	0
3	0
0	0
0	8
0	8
25	1
0	1
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
34	0
16	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	12
0	12
0	12
0	53
0	53
0	0
8	0
3	0
0	0
11	0
1	0
45	0
0	0
0	0
0	1
0	1
0	1
0	0
0	0
0	0
1	0
0	2648
0	2648
0	1402
0	1445
0	1445
4	1402
4	0
0	0
0	0
0	0
0	0
30	0
6	0
213	0
18	0
15	0
0	1538
0	1538
90	0
0	0
7	0
7	0
0	0
26	0
3	0
1	0
1135	151
559	151
2	5
0	5
0	5
9	28
35	28
0	0
0	0
1	82
9	82
0	79
13	0
0	0
0	0
10	0
0	140
0	140
1	127
0	127
0	127
0	4
1	4
3	0
0	0
0	0
0	0
1	0
32	0
0	0
55	0
142	0
0	0
0	0
58	0
0	0
0	0
12	0
19	0
68	0
2	0
0	0
0	0
0	0
2	0
20	0
2	0
3	0
0	0
0	0
0	0
1	0
0	0
0	43
0	43
0	24
0	24
0	17
0	24
0	17
0	17
0	23
0	16
0	16
0	22
0	15
0	15
17	0
46	0
0	12
0	12
0	12
0	12
7	0
1	0
1	0
0	0
0	3
0	3
0	0
0	0
1	2
13	0
0	0
6	189
0	189
0	118
0	0
5	0
0	6
0	6
0	6
0	5
16	0
0	1
0	0
0	1
0	1
40	0
58	0
1	0
6	0
0	187
0	187
1	2
2302	2
16	0
1469	0
518	0
0	468
1	468
1	23
0	29
0	29
0	29
0	23
0	0
1	7
19	7
0	7
0	0
0	283
3	283
1	7
0	7
0	0
1	0
0	2
0	2
1	0
2	0
0	0
0	10
1	10
899	0
0	0
0	0
0	0
0	0
0	0
0	0
6	0
12	0
0	0
25	0
39	0
114	0
72	15
0	15
167	0
0	0
0	0
0	2
0	2
0	713
0	711
0	713
0	712
0	710
0	710
0	707
0	0
41	0
35	0
0	9
0	9
0	2
0	0
0	0
0	0
0	0
0	0
0	9
0	9
0	9
0	9
0	3
0	3
0	3
